frames,Rg,degrees,mean_curv,max_curv_monomer,max_curv,min_curv_monomer,min_curv,turning_number,winding_number,density
122.0,13.327880600250364,-118.60730269725022,28.02853,1,94.14306,41,0.99801,-0.0096621271319706,-0.0863673704065026,0.08959792353873694
123.0,13.29658687798876,-135.25877450043134,28.84447,1,106.07937,10,0.37958,-0.0565467053571529,-0.1313670471180353,0.09002016001420017
124.0,13.290863895845211,-142.50195190767414,31.04937,1,109.11467,45,1.18014,-0.0954723963432958,-0.1515951775032186,0.0900977012019193
125.0,13.296790511251242,-139.5106213426918,31.29407,1,95.06708,46,2.61839,-0.103425357623134,-0.1431161757926438,0.09001740281373262
126.0,13.300452441629806,-116.891121615271,31.0962,2,95.05154,30,0.56685,-0.0614816016907856,-0.0812878725714829,0.08996784178039194
127.0,13.323470795466855,-106.722301061196,31.32429,2,101.57743,40,0.85549,0.0147783281203896,-0.052025836142792,0.08965724362800835
128.0,13.342664115172814,-94.77843080507368,27.21254,47,103.60159,27,0.8012,0.0498294323801062,-0.0202382667557222,0.08939948664142822
129.0,13.361925418986903,-103.36552723319927,27.2294,2,103.5809,25,1.24853,0.054646411325078,-0.0437010191128704,0.08914193250646196
130.0,13.367639977173942,-109.15479187065594,26.1141,2,106.25998,6,0.20378,0.1074852600683413,-0.0590520348236687,0.08906573388390122
131.0,13.365842379360652,-99.70866995290396,28.66748,2,104.75982,30,0.75087,0.1053340079069186,-0.0330856579203509,0.08908969273816514
132.0,13.34072569373836,-107.99761254478304,29.69063,2,107.56784,10,1.3362,0.1269041686519439,-0.05548706976025,0.0894254682071998
133.0,13.310523951716512,-122.13978378611615,27.9233,2,109.56694,21,2.237,0.068401812987243,-0.0945287925190936,0.08983174357404827
134.0,13.316777986769088,-118.4050045112212,25.92596,2,120.24015,31,0.45639,0.0871478182991972,-0.084668687864979,0.08974738699012563
135.0,13.308861019201544,-111.40951516151316,26.7369,2,117.15988,22,0.12549,0.100015951012282,-0.0661254948029609,0.08985419379871724
136.0,13.278221594243073,-117.57231116931555,26.21291,2,117.62,48,0.59371,0.0518051974578247,-0.082666332228053,0.09026934836864871
137.0,13.285213172726005,-111.0553449594378,27.27783,2,118.21798,41,0.69322,0.1107184535694992,-0.0645001765776402,0.09017436168607028
138.0,13.279119159657307,-106.53270279054944,24.50214,2,120.30943,19,0.33665,0.1689026938845193,-0.0521278121798173,0.09025714576607603
139.0,13.286617166586796,-113.66458978555464,26.81739,2,111.3187,38,0.63567,0.206515895443566,-0.072817329512065,0.09015530528375217
140.0,13.300323690516043,-109.77512509759084,27.57136,2,113.75122,41,0.51628,0.2556082686884363,-0.0628518342757695,0.0899695836200896
141.0,13.30844171741086,-93.590950426172,26.04192,2,115.95975,28,0.11698,0.3028665690000943,-0.0182335698819554,0.08985985586174149
142.0,13.2935820973926,-109.40187209994576,28.43432,48,114.87474,6,0.53818,0.2650712479043974,-0.0619995059086053,0.09006085956349262
143.0,13.276923352872942,-120.85188672734648,29.05923,2,113.30797,33,1.27883,0.2264847790545676,-0.0926011490388895,0.09028700262920063
144.0,13.29366606231579,-133.1184162634252,28.6406,2,114.80306,41,0.33334,0.1707460693015125,-0.1264220202393327,0.09005972188946969
